Key,Description,En,Ja
SETTEXT.Flowchart.4,,Current score: {$Score},現在のスコア：{$Score}
SETTEXT.Flowchart.6,,日本語,
SETTEXT.Flowchart.9,,English,
SETTEXT.Flowchart.37,,広大な敷地を誇り、四季折々の美しい景観が楽しめます。私は札幌の憩いの場所であり、時計、お酒、花、自然が色どおりところ。昼には家族でピクニック\n夜にはスケートやサイファーが。9時半まで光る腕時計も持っています。さて私は誰でしょう?,
SETTEXT.Flowchart.42,,私は雪で覆われた壮大な山です。スキーやスノーボードで楽しむ人たちは私の斜面を滑り降りながら、興奮に満ちた時間を楽しんでいます。ロープウェイでゆっくり登ってみてもいいかもしれません。さて、私は誰でしょう?,
SETTEXT.Flowchart.41,,私は昼も夜もエネルギーにあふれる活気ある通りです。ネオンライトが暗闇を照らし、カラフルな光景を作り出します。レストランやお店が私の道沿いに並び、さまざまな味と宝物を提供しています。地元の人々や観光客が探検する、食いしん坊の楽園として知られている交差点です。さて私は誰でしょう?,
SETTEXT.Flowchart.40,,私は歴史的な建物であり、北海道の過去を物語るものです。かつては醸造所でしたが、今や永遠に残る文化的な象徴となっています。美術展やイベントが私のホールを埋め尽くし、広大な才能と創造性を披露しています。さて私は誰でしょう?,
SETTEXT.Flowchart.39,,私は静けさに包まれた公園であり、都会の喧騒の中での避難所です。私の散策路を歩きながら新鮮な空気を吸い込みましょう。春には桜が咲き誇り、あちこちで鮮やかな色彩が広がります。たまにDHの方々がマラソンの練習をしています。さて私は誰でしょう?,
SETTEXT.Flowchart.38,,歴史的な建物であり、札幌一の有名観光名所です。私はいつも変わらないレトロな雰囲気で札幌の時間をゆっくり数えています。さて、私は誰でしょう?,
SETTEXT.Flowchart.44,,OdoriPark medium level puzzle,
SETTEXT.Flowchart.49,,MountMoiwa medium level puzzle,
SETTEXT.Flowchart.48,,Susukino medium level puzzle,
SETTEXT.Flowchart.47,,GovBuilding medium level puzzle,
SETTEXT.Flowchart.46,,MaruyamaPark medium level puzzle,
SETTEXT.Flowchart.45,,SnowSculptures medium level puzzle,
SETTEXT.Flowchart.51,,OdoriPark difficult level puzzle,
SETTEXT.Flowchart.56,,MountMoiwa difficult level puzzle,
SETTEXT.Flowchart.55,,Susukino difficult level puzzle,
SETTEXT.Flowchart.54,,GovBuilding difficult level puzzle,
SETTEXT.Flowchart.53,,MaruyamaPark difficult level puzzle,
SETTEXT.Flowchart.52,,SnowSculptures difficult level puzzle,
SETTEXT._CommandCopyBuffer.101,,Susukino puzzle,
SETTEXT._CommandCopyBuffer.99,,SnowSculptures puzzle,
SETTEXT._CommandCopyBuffer.97,,GovBuilding puzzle,
SETTEXT._CommandCopyBuffer.95,,MaruyamaPark puzzle,
SETTEXT._CommandCopyBuffer.93,,私は雪で覆われた壮大な山です。スキーやスノーボードで楽しむ人たちは私の斜面を滑り降りながら、興奮に満ちた時間を楽しんでいます。ロープウェイでゆっくり登ってみてもいいかもしれません。さて、私は誰でしょう?,
SETTEXT._CommandCopyBuffer.91,,広大な敷地を誇り、四季折々の美しい景観が楽しめます。私は札幌の憩いの場所であり、時計、お酒、花、自然が色どおりところ。昼には家族でピクニック\n夜にはスケートやサイファーが。9時半まで光る腕時計も持っています。さて私は誰でしょう?,
